代码,时间,开盘价,最高价,最低价,收盘价,成交量,成交额
00100,2001-12-19,6.0000,6.0000,5.4000,5.4000,43654800,0.00
00100,2001-12-20,5.4500,5.9000,5.4500,5.8500,18586600,105811900.00
00100,2001-12-21,5.8500,5.8500,5.7000,5.7500,9637000,55449650.00
00100,2001-12-24,5.7500,5.8000,5.7000,5.8000,1078000,6149900.00
00100,2001-12-27,5.7500,5.7500,5.7000,5.7000,539000,3082500.00
00100,2001-12-28,5.7000,5.7000,5.6000,5.6500,1894000,10682400.00
00100,2001-12-31,5.6000,5.7500,5.6000,5.7000,1215000,6903350.00
00100,2002-01-02,5.7000,5.7000,5.5500,5.7000,1632000,9200900.00
00100,2002-01-03,5.7000,6.4000,5.6500,6.4000,18911000,116591400.00
00100,2002-01-04,6.4000,6.4500,5.9000,5.9500,15548800,94798470.00
00100,2002-01-07,6.0000,6.0500,5.8500,5.9500,4004000,23884980.00
00100,2002-01-08,5.9000,6.1500,5.9000,6.0000,3866600,23379010.00
00100,2002-01-09,6.0000,6.0500,5.8000,5.8500,5125000,30152700.00
00100,2002-01-10,5.8500,5.8500,5.7500,5.8000,2424000,14029450.00
00100,2002-01-11,5.8000,6.0500,5.6500,5.9500,4188000,24600500.00
00100,2002-01-14,5.8500,5.9000,5.7500,5.8000,577000,3350550.00
00100,2002-01-15,5.8000,5.8000,5.4000,5.5500,3130000,17264000.00
00100,2002-01-16,5.5500,5.5500,5.4500,5.5000,1065200,5866646.00
00100,2002-01-17,5.4500,5.6000,5.4000,5.4500,1512000,8277450.00
00100,2002-01-18,5.5000,5.6500,5.4500,5.5000,1785000,9917350.00
00100,2002-01-21,5.5000,5.5000,5.1000,5.1500,3612000,18771150.00
00100,2002-01-22,5.1000,5.2500,5.0500,5.2000,2914000,15077750.00
00100,2002-01-23,5.2000,5.2000,5.1500,5.2000,2220000,11452500.00
00100,2002-01-24,5.1500,5.2000,5.1500,5.1500,1109000,5713250.00
00100,2002-01-25,5.1500,5.1500,4.9250,5.0000,3925000,19727150.00
00100,2002-01-28,5.0000,5.1000,4.9500,5.0000,1536000,7701525.00
00100,2002-01-29,5.0000,5.1500,5.0000,5.0500,389000,1973300.00
00100,2002-01-30,5.0000,5.0000,4.9500,5.0000,411000,2053375.00
00100,2002-01-31,5.0500,5.0500,4.8750,4.8750,1038000,5117575.00
00100,2002-02-01,4.8750,5.0000,4.8500,4.9500,377000,1858675.00
00100,2002-02-04,4.9750,4.9750,4.9000,4.9250,280000,1383900.00
00100,2002-02-05,4.9250,5.0000,4.9000,5.0000,320000,1585050.00
00100,2002-02-06,5.0000,5.0000,4.9500,4.9500,263000,1308525.00
00100,2002-02-07,4.9250,5.0000,4.9250,4.9500,848000,4204225.00
00100,2002-02-08,4.9250,4.9250,4.8500,4.8750,532000,2594525.00
00100,2002-02-11,4.9000,4.9500,4.9000,4.9000,209000,1029550.00
00100,2002-02-15,4.9000,4.9500,4.8750,4.9500,915000,4499150.00
00100,2002-02-18,4.9500,5.2000,4.9500,5.1500,187000,943850.00
00100,2002-02-19,5.1500,5.3500,5.1000,5.3500,706000,3642650.00
00100,2002-02-20,5.3000,5.4000,5.2500,5.4000,825000,4381600.00
00100,2002-02-21,5.4000,5.4000,5.2000,5.2500,171000,898250.00
00100,2002-02-22,5.2500,5.3000,5.1000,5.2500,102000,531900.00
00100,2002-02-25,5.1500,5.1500,4.8500,4.9250,378000,1866225.00
00100,2002-02-26,4.8500,4.9250,4.7250,4.7500,1028000,4929925.00
00100,2002-02-27,4.8500,4.8500,4.6250,4.6750,418000,1975750.00
00100,2002-02-28,4.7750,4.8000,4.6750,4.7250,551000,2593475.00
00100,2002-03-01,4.7250,4.8000,4.6250,4.7500,469000,2203800.00
00100,2002-03-04,4.9000,4.9750,4.7750,4.8750,1483000,7257250.00
00100,2002-03-05,4.9750,5.1500,4.9250,5.0500,1360550,6842820.00
00100,2002-03-06,5.1000,5.2500,5.1000,5.2000,1133000,5885800.00
00100,2002-03-07,5.1500,5.2000,5.0000,5.0500,559000,2861600.00
00100,2002-03-08,5.0500,5.0500,4.8750,4.9500,558000,2757675.00
00100,2002-03-11,4.9500,5.0000,4.9250,4.9750,472200,2348145.00
00100,2002-03-12,5.0000,5.0500,5.0000,5.0500,352000,1773200.00
00100,2002-03-13,5.0000,5.0500,4.9500,5.0500,742750,3702725.00
00100,2002-03-14,5.0000,5.0500,4.9500,4.9750,1217000,6045975.00
00100,2002-03-15,4.9250,4.9500,4.9000,4.9000,613000,3017582.00
00100,2002-03-18,4.9000,4.9000,4.7500,4.8000,613000,2939825.00
00100,2002-03-19,4.8000,4.8000,4.7250,4.7500,870000,4117975.00
00100,2002-03-20,4.7250,4.7250,4.6750,4.6750,114000,536000.00
00100,2002-03-21,4.7000,4.7000,4.6500,4.6500,76000,354875.00
00100,2002-03-22,4.6750,4.6750,4.4750,4.5000,1345000,6136025.00
00100,2002-03-25,4.4750,4.4750,4.1500,4.1500,1551000,6599100.00
00100,2002-03-26,4.1000,4.4750,4.1000,4.4500,1562000,6818050.00
00100,2002-03-27,4.4000,4.6000,4.4500,4.5250,1797000,7959700.00
00100,2002-03-28,4.5250,4.6500,4.5250,4.6250,375000,1718125.00
00100,2002-04-02,4.6750,4.7750,4.6500,4.7000,2547000,11911820.00
00100,2002-04-03,4.7000,4.9500,4.7000,4.9250,1303000,6246735.00
00100,2002-04-04,4.9250,5.1500,4.9250,5.1500,3463000,17285210.00
00100,2002-04-08,5.2000,5.4500,5.2000,5.2500,3379000,17689900.00
00100,2002-04-09,5.2500,5.2500,5.0000,5.2000,332000,1706250.00
00100,2002-04-10,5.0500,5.2500,5.0500,5.1500,558000,2882250.00
00100,2002-04-11,5.1500,5.5000,5.1000,5.4000,1634000,8780300.00
00100,2002-04-12,5.3500,5.4500,5.3500,5.4500,656000,3560500.00
00100,2002-04-15,5.5000,5.6500,5.5000,5.5500,3636000,19981070.00
00100,2002-04-16,5.5500,5.6500,5.4000,5.6000,1786000,9931447.00
00100,2002-04-17,5.7000,5.9000,5.6000,5.8000,1104500,6322725.00
00100,2002-04-18,5.8000,5.9000,5.7500,5.9000,441000,2563450.00
00100,2002-04-19,5.9000,5.9000,5.5500,5.6500,269000,1538800.00
00100,2002-04-22,5.7000,5.7500,5.6000,5.7000,479000,2714850.00
00100,2002-04-23,5.6000,5.7500,5.5500,5.7000,465000,2613700.00
00100,2002-04-24,5.7000,5.7000,5.6000,5.7000,95000,538800.00
00100,2002-04-25,5.6000,5.8000,5.5500,5.7500,2354000,13528050.00
00100,2002-04-26,5.8000,5.8000,5.7500,5.8000,1216000,7003500.00
00100,2002-04-29,5.7000,5.8000,5.7000,5.8000,729000,4199950.00
00100,2002-04-30,5.7000,5.7000,5.6000,5.6500,143000,805500.00
00100,2002-05-02,5.6000,5.6000,5.5000,5.6000,637000,3559000.00
00100,2002-05-03,5.7000,5.7500,5.7000,5.7000,1423000,8118500.00
00100,2002-05-06,5.7500,5.7500,5.7000,5.7000,1006000,5736550.00
00100,2002-05-07,5.7500,6.0000,5.7500,5.8000,1038000,6150700.00
00100,2002-05-08,5.8000,5.8000,5.7000,5.7000,255000,1462250.00
00100,2002-05-09,5.7000,5.7500,5.6000,5.7000,938000,5346150.00
00100,2002-05-10,5.8000,6.0000,5.8000,5.9500,1264000,7479350.00
00100,2002-05-13,5.8500,5.8500,5.8500,5.8500,125000,731250.00
00100,2002-05-14,5.8500,6.0500,5.8500,5.9500,270000,1608750.00
00100,2002-05-15,5.9000,6.2500,5.9000,6.2500,735000,4442450.00
00100,2002-05-16,6.1000,6.2500,6.0000,6.2500,1030000,6222300.00
00100,2002-05-17,6.2500,6.2500,6.0000,6.0000,219000,1320750.00
00100,2002-05-21,6.0000,6.1000,6.0000,6.0500,578021,3478802.00
00100,2002-05-22,5.9500,5.9500,5.9000,5.9500,127000,753150.00
00100,2002-05-23,5.9500,6.0000,5.9500,6.0000,246000,1471250.00
00100,2002-05-24,6.0000,6.0000,5.9500,5.9500,920000,5486500.00
00100,2002-05-27,5.9500,6.0000,5.9500,6.0000,844000,5043300.00
00100,2002-05-28,6.0000,6.1500,6.0000,6.1500,795000,4790450.00
00100,2002-05-29,6.0000,6.0000,6.0000,6.0000,49000,294000.00
00100,2002-05-30,6.0000,6.0500,6.0000,6.0000,576000,3465100.00
00100,2002-05-31,6.1500,6.1500,6.0000,6.0000,251000,1508750.00
00100,2002-06-03,6.0500,6.0500,6.0000,6.0500,178000,1068500.00
00100,2002-06-04,6.0000,6.0000,6.0000,6.0000,874000,5244000.00
00100,2002-06-05,6.0000,6.0000,5.9500,6.0000,365000,2189900.00
00100,2002-06-06,6.0500,6.0500,5.9500,5.9500,5276000,31655500.00
00100,2002-06-07,6.0000,6.0000,5.9500,5.9500,44000,262800.00
00100,2002-06-10,5.9000,5.9500,5.8500,5.9500,88000,518750.00
00100,2002-06-11,5.8500,5.9500,5.8500,5.9500,116000,689300.00
00100,2002-06-13,5.9000,5.9500,5.9000,5.9000,12600,74270.00
00100,2002-06-14,5.8000,5.8000,5.7000,5.7000,150000,865000.00
00100,2002-06-17,5.6000,5.6000,5.6000,5.6000,18000,100800.00
00100,2002-06-18,5.7000,6.2000,5.6000,5.9000,315000,1815050.00
00100,2002-06-19,5.6000,5.8000,5.5000,5.6500,269000,1512000.00
00100,2002-06-20,5.6000,5.9000,5.5000,5.6000,242000,1367000.00
00100,2002-06-21,5.6000,5.6000,5.6000,5.6000,270000,1512000.00
00100,2002-06-24,5.7000,5.8500,5.7000,5.8000,17000,98200.00
00100,2002-06-25,5.8000,5.8000,5.6000,5.7500,305000,1745400.00
00100,2002-06-26,5.6000,5.6000,5.5000,5.5000,1141000,6337100.00
00100,2002-06-27,5.5000,5.4000,5.0500,5.2000,1354000,7159300.00
00100,2002-06-28,5.3000,5.3500,5.3000,5.3000,172000,917650.00
00100,2002-07-02,5.2000,5.2000,4.9500,5.0500,3315000,16775020.00
00100,2002-07-03,5.0500,5.0500,5.0000,5.0500,183397,925335.00
00100,2002-07-04,5.1000,5.2000,5.1000,5.2000,44000,226900.00
00100,2002-07-05,5.3000,5.4000,5.3000,5.3000,53000,281800.00
00100,2002-07-08,5.1000,5.3000,5.3000,5.3000,142000,736600.00
00100,2002-07-09,5.4000,5.7500,5.4000,5.6500,295000,1665900.00
00100,2002-07-10,5.6500,5.6500,5.6000,5.6500,109000,614850.00
00100,2002-07-11,5.3500,5.5500,5.3500,5.5000,29000,159650.00
00100,2002-07-12,5.5000,5.5500,5.4000,5.5500,949000,5130700.00
00100,2002-07-15,5.5500,5.5500,5.5000,5.5000,552000,3038150.00
00100,2002-07-16,5.3500,5.3500,5.3500,5.3500,450700,2476750.00
00100,2002-07-17,5.5000,5.5000,5.3000,5.3000,573000,3042050.00
00100,2002-07-18,5.3000,5.3000,5.3000,5.3000,21000,111300.00
00100,2002-07-19,5.3000,5.3000,5.1000,5.1000,61000,321300.00
00100,2002-07-22,5.1500,5.1500,4.9500,4.9500,96000,488350.00
00100,2002-07-23,4.9500,5.0000,4.9500,5.0000,1012700,5153525.00
00100,2002-07-24,4.9500,5.0000,4.9500,5.0000,531000,2654950.00
