代码,时间,开盘价,最高价,最低价,收盘价,成交量,成交额
00100,2002-07-25,5.0500,5.1500,5.0500,5.4000,194000,984100.00
00100,2002-07-26,5.0500,5.0500,5.0000,5.0500,466500,2347400.00
00100,2002-07-29,5.1500,5.2000,5.1500,5.2000,110000,567450.00
00100,2002-07-30,5.3000,5.3000,5.3000,5.3000,12000,63600.00
00100,2002-07-31,5.2000,5.2000,5.2000,5.1500,9000,46800.00
00100,2002-08-01,5.1000,5.3500,5.1000,5.3500,1687000,8629300.00
00100,2002-08-02,5.3500,5.3500,5.2000,5.3000,18000,94900.00
00100,2002-08-05,5.3000,5.3000,5.1000,5.1000,278000,1472400.00
00100,2002-08-06,5.0000,5.0000,5.0000,5.0000,476000,2380000.00
00100,2002-08-08,5.2000,5.2000,5.0000,5.0000,81300,414870.00
00100,2002-08-09,5.0500,5.0500,4.9750,4.9750,30000,149975.00
00100,2002-08-13,5.0000,5.0500,5.0000,5.0500,48000,241850.00
00100,2002-08-16,5.1000,5.1500,5.1000,5.1500,610000,3113000.00
00100,2002-08-20,5.1500,5.1500,5.0500,5.1000,144000,733600.00
00100,2002-08-21,5.0000,5.0000,5.0000,5.0000,36000,180000.00
00100,2002-08-22,5.0000,5.0000,5.0000,5.0000,375000,1875000.00
00100,2002-08-23,5.0500,5.1000,5.0500,5.1500,35000,177700.00
00100,2002-08-27,5.2000,5.2000,5.0500,5.0500,332700,1696580.00
00100,2002-08-28,5.2000,5.0000,5.0000,4.9000,555000,2775000.00
00100,2002-08-29,4.9000,5.0500,4.9000,5.0000,4119000,20598500.00
00100,2002-08-30,4.9500,4.9500,4.9250,4.9500,826000,4091000.00
00100,2002-09-02,4.9500,4.9500,4.9500,4.9500,250000,1237500.00
00100,2002-09-03,4.9750,4.9750,4.9500,4.9500,1982000,9842775.00
00100,2002-09-04,4.9250,4.9750,4.9250,4.9500,726100,3593580.00
00100,2002-09-05,4.9750,5.0000,4.9750,5.0000,999000,4970450.00
00100,2002-09-06,4.9750,4.9750,4.9750,4.9750,1985000,9875375.00
00100,2002-09-09,4.9750,4.9750,4.9750,4.9750,181000,900475.00
00100,2002-09-10,4.9750,4.9750,4.9750,4.9750,3000,14925.00
00100,2002-09-12,4.9000,4.9000,4.9000,4.9000,123000,602700.00
00100,2002-09-13,4.9000,4.9000,4.8500,4.9000,94000,460400.00
00100,2002-09-16,4.9000,4.9000,4.9000,4.9000,6000,29400.00
00100,2002-09-17,4.9500,4.9500,4.9500,4.9500,1150000,5692500.00
00100,2002-09-18,4.9500,4.9500,4.9500,4.9500,414000,2049300.00
00100,2002-09-19,4.9000,5.0000,4.8000,4.8000,5664000,28036420.00
00100,2002-09-20,4.8000,4.8250,4.8000,4.8000,440000,2114000.00
00100,2002-09-23,4.8000,4.8000,4.8000,4.8000,251000,1204800.00
00100,2002-09-24,4.7500,4.7750,4.7000,4.7250,260000,1234575.00
00100,2002-09-25,4.7500,4.7500,4.7500,4.7500,62000,293975.00
00100,2002-10-04,4.6250,4.6500,4.6000,4.6500,208000,964450.00
00100,2002-10-16,4.4500,4.4500,4.4500,4.4500,52000,231400.00
00100,2002-10-17,4.4000,4.4000,4.3500,4.3500,81000,354850.00
00100,2002-10-18,4.4000,4.4000,4.3000,4.3000,43000,188558.00
00100,2002-10-24,4.1000,4.3000,4.1000,4.2000,48000,205100.00
00100,2002-10-31,4.3000,4.3000,4.1000,4.1000,13000,54600.00
00100,2002-11-05,3.8250,4.0500,3.4500,4.0500,252000,972275.00
00100,2002-11-06,4.1000,4.2000,4.1000,4.2000,12000,49700.00
00100,2002-11-07,4.0000,4.0000,3.8000,3.8000,25000,97000.00
00100,2002-11-08,3.8000,4.0000,3.8000,3.8000,175000,674000.00
00100,2002-11-11,3.8000,4.0000,3.8000,3.8000,54000,206000.00
00100,2002-11-12,3.8000,4.0000,3.6000,4.0000,90000,348200.00
00100,2002-11-13,3.8690,4.0000,4.0000,4.0000,129000,499625.00
00100,2002-11-14,4.0000,4.0000,4.0000,4.0000,2000,8000.00
00100,2002-11-20,3.6000,3.6000,3.2250,3.4000,27045,95071.00
00100,2002-11-21,3.3750,3.8000,3.1750,3.3750,321000,1096975.00
00100,2002-11-22,3.5750,3.5750,3.5750,4.2000,5000,18725.00
00100,2002-11-25,3.9000,3.9000,3.9000,3.9000,50000,195000.00
00100,2002-11-26,3.9000,3.9500,3.9000,3.9000,176000,686600.00
00100,2002-11-27,3.8500,4.0000,3.9000,4.0000,1627000,6277400.00
00100,2002-11-28,3.9000,4.3000,3.9000,4.3000,1528000,5964700.00
00100,2002-11-29,4.0000,4.2000,3.9500,4.2000,44000,178550.00
00100,2002-12-02,4.2000,4.2000,4.2000,4.2000,15000,63000.00
00100,2002-12-04,4.0500,4.1000,4.0500,4.1000,9000,36850.00
00100,2002-12-09,3.8750,3.8750,3.8750,3.8500,70000,278750.00
00100,2002-12-11,3.8000,3.8750,3.8000,3.8750,12000,46425.00
00100,2002-12-17,3.7750,3.7750,3.4750,3.6000,550000,1963950.00
00100,2002-12-18,3.5000,3.9000,3.5000,3.9000,112000,393400.00
00100,2002-12-24,3.8500,3.9000,3.8500,3.9000,214000,830900.00
00100,2002-12-27,3.8500,3.8500,3.7500,3.7500,30000,114500.00
00100,2002-12-30,3.7500,4.0000,3.7500,3.9500,366000,1415475.00
00100,2003-01-03,3.8000,3.9500,3.8000,3.9500,51000,194100.00
00100,2003-01-06,3.9500,3.9500,3.9250,3.9500,431000,1696300.00
00100,2003-01-07,3.9000,3.9000,3.9000,3.9000,262000,1021800.00
00100,2003-01-08,3.9000,3.9000,3.9000,3.9000,30000,117000.00
00100,2003-01-10,3.9000,3.9000,3.9000,3.9000,40000,156000.00
00100,2003-01-13,3.9000,3.9000,3.9000,3.9000,31700,123543.00
00100,2003-01-14,3.9000,4.1500,3.9000,3.9750,463000,1849400.00
00100,2003-01-15,4.0000,4.0500,4.0000,4.0500,890000,3578500.00
00100,2003-01-16,4.1000,4.1000,4.0500,4.1000,634000,2598900.00
00100,2003-01-17,4.1000,4.1000,4.0250,4.0750,75000,305950.00
00100,2003-01-21,4.0750,4.0750,4.0750,4.0750,20000,81500.00
00100,2003-01-22,4.0500,4.1250,4.0500,4.1000,636000,2606000.00
00100,2003-01-23,4.1000,4.0250,4.0000,4.0000,3063000,12552050.00
00100,2003-01-24,4.0000,4.0000,3.9500,4.0000,300000,1199550.00
00100,2003-01-27,4.0000,4.0000,4.0000,4.0000,62000,248000.00
00100,2003-01-28,4.0000,4.0000,4.0000,4.0000,154000,616000.00
00100,2003-01-29,4.0000,4.0000,4.0000,4.0000,126000,504000.00
00100,2003-01-30,4.0000,4.0000,4.0000,4.0000,54000,216000.00
00100,2003-02-04,3.9750,4.0000,3.9750,4.0000,440000,1756500.00
00100,2003-02-05,4.0000,4.0000,3.9500,3.9500,33000,131000.00
00100,2003-02-06,3.9500,3.9500,3.9000,3.9000,102000,399750.00
00100,2003-02-10,3.9000,4.0000,3.9000,4.0000,60000,235900.00
00100,2003-02-12,3.8000,3.8000,3.8000,3.8000,3000,11400.00
00100,2003-02-20,3.8000,3.8000,3.8000,3.8000,7000,26600.00
00100,2003-02-21,3.8000,3.8000,3.8000,3.8000,295000,1164800.00
00100,2003-02-25,3.8000,3.8000,3.8000,3.8000,2000,7600.00
00100,2003-02-26,3.8500,3.8500,3.8000,3.8000,285000,1085475.00
00100,2003-02-28,3.8000,3.8000,3.8000,3.8000,50000,190000.00
00100,2003-03-03,3.8000,3.9000,3.8000,3.9000,165532,640525.00
00100,2003-03-04,3.9000,3.9000,3.9000,3.9000,405000,1579500.00
00100,2003-03-05,3.9000,3.9000,3.8750,3.9000,293925,1142965.00
00100,2003-03-07,3.8750,3.9500,3.8750,3.9500,123515,484106.00
00100,2003-03-10,3.8750,3.9000,3.8750,3.8750,65030,252388.00
00100,2003-03-11,3.8500,3.8500,3.8250,3.8250,4000,15350.00
00100,2003-03-12,3.8250,3.8250,3.8250,3.8250,4000,15300.00
00100,2003-03-13,3.8250,3.8250,3.8000,3.8000,10000,38125.00
00100,2003-03-17,3.8000,3.8000,3.7750,3.8000,23000,87275.00
00100,2003-03-20,3.7500,3.7500,3.7500,3.7500,7000,26250.00
00100,2003-03-21,3.7000,3.7000,3.6000,3.7000,12000,44000.00
00100,2003-03-26,3.7000,3.7000,3.7000,3.7000,8030,29708.00
00100,2003-04-04,3.7500,3.7500,3.7500,3.7500,10000,37500.00
00100,2003-04-07,3.7500,3.7500,3.7500,3.7500,39000,146250.00
00100,2003-04-10,3.5000,3.5000,3.3750,3.3750,32000,110150.00
00100,2003-04-11,3.4000,3.6000,3.3500,3.5000,182000,639275.00
00100,2003-04-14,3.4500,3.6000,3.4500,3.6000,10000,35250.00
00100,2003-04-15,3.5000,3.6000,3.5000,3.6000,5000,17800.00
00100,2003-04-17,3.4000,3.6000,3.4000,3.6000,33000,112600.00
00100,2003-04-23,3.5000,3.6000,3.4500,3.6000,20000,71050.00
00100,2003-04-24,3.5000,3.6000,3.5000,3.6000,47000,165900.00
00100,2003-04-30,3.5000,3.5500,3.5000,3.5500,4000,14150.00
00100,2003-05-12,3.4000,3.5000,3.4000,3.5000,2000,6900.00
00100,2003-05-13,3.4000,3.5000,3.4000,3.5000,13000,44300.00
00100,2003-05-15,3.4000,3.5000,3.4000,3.5000,34000,115800.00
00100,2003-05-16,3.5000,3.5000,3.5000,3.5000,50000,175000.00
00100,2003-05-20,3.3000,3.5000,3.3000,3.5000,5000,17050.00
00100,2003-05-21,3.5000,3.5000,3.4500,3.5000,1090000,3814500.00
00100,2003-05-22,3.5500,3.5500,3.5500,3.5500,10000,35500.00
00100,2003-05-28,3.4000,3.5000,3.5000,3.5000,4871000,16561900.00
00100,2003-05-29,3.4000,3.5000,3.4000,3.5000,30000,104000.00
00100,2003-05-30,3.4000,3.5000,3.4000,3.5000,2000,6900.00
00100,2003-06-02,3.5000,3.5000,3.5000,3.5000,41000,143500.00
00100,2003-06-03,3.5000,3.5000,3.4750,3.5000,92000,321650.00
00100,2003-06-05,3.5000,3.5000,3.4000,3.4000,45000,155350.00
00100,2003-06-06,3.3000,3.4000,3.3000,3.3000,56000,185000.00
00100,2003-06-09,3.2250,3.2250,3.2250,3.3500,1000,3225.00
00100,2003-06-10,3.1500,3.3500,3.1500,3.2500,26000,83500.00
00100,2003-06-11,3.4000,3.5000,3.4000,3.5000,216397,747240.00
00100,2003-06-12,3.5000,3.5000,3.4250,3.4500,842000,2946425.00
00100,2003-06-13,3.4500,3.5000,3.4500,3.5000,289000,1006700.00
00100,2003-06-16,3.5250,3.5250,3.5250,3.5250,5000,17625.00
00100,2003-06-17,3.7000,3.8000,3.7000,3.7750,74000,276250.00
00100,2003-06-18,3.7500,3.8500,3.7000,3.8500,120000,448700.00
00100,2003-06-19,3.8500,3.8500,3.8500,3.8500,10000,38500.00
00100,2003-06-20,3.8500,3.8500,3.8500,3.8500,26000,100100.00
00100,2003-06-23,3.9750,3.9750,3.9000,3.9000,147000,574400.00
00100,2003-06-25,3.9000,3.9500,3.9500,3.9500,103000,404050.00
00100,2003-06-26,3.9000,4.0000,3.9000,4.0000,142169,561455.00
00100,2003-06-27,4.0000,4.2000,4.0000,4.1750,589000,2419975.00
00100,2003-06-30,4.1000,4.3750,4.0750,4.3000,1370000,5821475.00
00100,2003-07-02,4.3000,4.4000,4.0000,4.3000,1324603,5665883.00
00100,2003-07-03,4.1500,4.3750,4.0000,4.2500,2138000,8968175.00
00100,2003-07-04,4.1000,4.7000,3.9750,4.6500,3221000,13842720.00
00100,2003-07-07,4.5000,4.5000,4.2000,4.3000,2153000,9304900.00
00100,2003-07-08,4.2250,4.5000,4.2000,4.3250,2982000,13023300.00
00100,2003-07-09,4.2500,4.4750,4.2500,4.4250,2133000,9320375.00
00100,2003-07-10,4.3500,4.5500,4.2750,4.3750,1518000,6669725.00
00100,2003-07-11,4.3250,4.4250,4.2750,4.3250,1446000,6295775.00
00100,2003-07-14,4.2750,4.5000,4.2000,4.3500,6093000,26335720.00
00100,2003-07-15,4.3500,4.5500,4.2250,4.2750,4737000,20780320.00
00100,2003-07-16,4.3250,4.4750,4.2750,4.4250,3475000,15175080.00
00100,2003-07-17,4.4000,4.5000,4.2500,4.2500,3922000,17164600.00
00100,2003-07-18,4.3000,4.3750,4.2750,4.3500,1853000,8019175.00
00100,2003-07-21,4.4000,4.5500,4.3250,4.4000,2990000,13198750.00
00100,2003-07-22,4.4000,4.4500,4.3250,4.3250,2508000,11008900.00
00100,2003-07-23,4.3500,4.4750,4.3250,4.3500,3052000,13486720.00
00100,2003-07-24,4.2750,4.5500,4.2750,4.3000,2724000,12002650.00
00100,2003-07-25,4.3500,4.4000,4.2000,4.2000,1504000,6492725.00
00100,2003-07-28,4.3000,4.4000,4.2500,4.2500,1961000,8507725.00
00100,2003-07-29,4.3000,4.3750,4.2750,4.3250,1997000,8648725.00
00100,2003-07-30,4.3500,4.3750,4.2000,4.3000,1714000,7401400.00
00100,2003-07-31,4.3500,4.4000,4.2500,4.2750,1946000,8414650.00
00100,2003-08-01,4.2750,4.3500,4.2750,4.3250,1872000,8068800.00
00100,2003-08-04,4.3750,4.4000,4.2250,4.3000,2053000,8801525.00
00100,2003-08-05,4.3000,4.3250,4.2500,4.2500,782000,3355100.00
00100,2003-08-06,4.2500,4.2750,4.2250,4.2750,495000,2109000.00
00100,2003-08-07,4.3000,4.3250,4.2250,4.3250,1052000,4501675.00
00100,2003-08-08,4.3500,4.3500,4.2500,4.3250,812000,3498400.00
00100,2003-08-11,4.2750,4.4000,4.2750,4.3750,1151000,4999875.00
00100,2003-08-12,4.3500,4.5000,4.3250,4.4750,3587000,15846100.00
00100,2003-08-13,4.6000,5.0000,4.5500,5.0000,2472000,11608800.00
00100,2003-08-14,4.8750,5.0000,4.8250,4.8500,1062000,5241800.00
00100,2003-08-15,4.8000,4.9250,4.7500,4.7500,413000,1984925.00
00100,2003-08-18,4.8750,4.9000,4.6750,4.6750,793000,3793600.00
00100,2003-08-19,4.7750,4.8500,4.6250,4.6750,792000,3712975.00
00100,2003-08-20,4.7500,4.7500,4.5000,4.5000,1389000,6423475.00
00100,2003-08-21,4.5000,4.5000,4.0500,4.4000,3081000,13602280.00
00100,2003-08-22,4.4750,4.4750,4.2750,4.3250,226000,987675.00
00100,2003-08-25,4.4000,4.4500,4.4000,4.4000,449000,1982700.00
00100,2003-08-26,4.4750,4.4750,4.3250,4.4000,282000,1252700.00
00100,2003-08-27,4.5000,4.5000,4.3500,4.3500,267000,1192300.00
00100,2003-08-28,4.3500,4.3500,4.3500,4.3500,30000,130500.00
00100,2003-08-29,4.3500,4.3500,4.2750,4.3500,168000,724100.00
00100,2003-09-01,4.3500,4.5250,4.2750,4.4000,576000,2558675.00
00100,2003-09-02,4.4000,4.5000,4.3500,4.4000,119000,531000.00
00100,2003-09-03,4.4500,4.4500,4.4000,4.4000,53000,234700.00
00100,2003-09-04,4.5500,4.7250,4.5500,4.7250,1149000,5307225.00
00100,2003-09-05,4.6500,4.6500,4.5500,4.5750,318000,1454350.00
00100,2003-09-08,4.5000,4.5000,4.5000,4.5000,45000,202500.00
00100,2003-09-09,4.6000,4.7000,4.4750,4.5000,656000,3021300.00
00100,2003-09-10,4.5000,4.5500,4.5000,4.5500,93000,418800.00
00100,2003-09-11,4.6000,4.8500,4.5750,4.6750,1163000,5373000.00
00100,2003-09-15,4.6000,4.6000,4.5500,4.5750,366000,1683300.00
00100,2003-09-16,4.5500,4.6750,4.5500,4.5500,102000,465725.00
00100,2003-09-18,4.5500,4.5500,4.5000,4.5500,146000,660525.00
00100,2003-09-19,4.5500,4.5500,4.5500,4.5250,10000,45500.00
00100,2003-09-22,4.4250,4.4250,4.3500,4.3500,100000,438350.00
00100,2003-09-23,4.3500,4.3500,4.3500,4.3500,50000,217500.00
00100,2003-09-24,4.4000,4.4000,4.3000,4.3000,150000,647475.00
00100,2003-09-25,4.2000,4.2250,4.1750,4.2250,801000,3363700.00
00100,2003-09-26,4.2500,4.2500,4.2500,4.2500,25000,106250.00
00100,2003-09-29,4.2000,4.2000,4.1750,4.1750,18000,75525.00
00100,2003-09-30,4.2000,4.4750,4.2250,4.4750,1604000,6916825.00
00100,2003-10-02,4.5250,5.0500,4.5250,4.8250,8665000,42060500.00
00100,2003-10-03,4.8500,5.2500,4.8500,5.0500,6312000,32051320.00
00100,2003-10-06,5.2000,5.9000,5.2000,5.8500,6480854,36622450.00
00100,2003-10-07,5.5000,5.6500,5.5000,5.5500,2092000,11552100.00
